date,open,high,low,close,volume
2013-03-28,17.07,17.12,16.69,16.72,330100.0
2013-04-01,16.75,17.36,16.74,17.12,578300.0
2013-04-02,17.22,17.62,17.09,17.25,629900.0
2013-04-03,17.25,17.2601,16.47,16.75,327400.0
2013-04-04,16.86,16.97,16.59,16.73,242500.0
2013-04-05,16.44,16.49,16.1101,16.42,228900.0
2013-04-08,16.51,16.51,16.18,16.49,190100.0
2013-04-09,16.57,16.79,16.47,16.47,291100.0
2013-04-10,16.56,16.65,16.25,16.31,355000.0
2013-04-11,16.26,16.52,16.18,16.18,219100.0
2013-04-12,16.13,16.39,16.11,16.26,184400.0
2013-04-15,16.12,16.42,15.58,15.61,367300.0
2013-04-16,15.77,15.98,15.48,15.76,283400.0
2013-04-17,15.65,15.8,15.36,15.42,289500.0
2013-04-18,15.44,15.68,15.08,15.12,375300.0
2013-04-19,15.14,15.64,15.04,15.5,319700.0
2013-04-22,15.53,15.6,15.17,15.27,238800.0
2013-04-23,15.4,15.43,15.09,15.21,429300.0
2013-04-24,15.15,15.51,15.0504,15.41,443000.0
2013-04-25,15.38,15.6,15.34,15.49,443600.0
2013-04-26,15.48,15.64,15.45,15.55,324800.0
2013-04-29,15.57,15.89,15.53,15.85,389900.0
2013-04-30,15.82,16.51,15.78,16.41,726300.0
2013-05-01,16.5,17.2,15.92,16.9,1950700.0
2013-05-02,17.25,18.4,17.13,18.05,1238600.0
2013-05-03,18.31,18.68,18.05,18.6,779600.0
2013-05-06,18.58,18.58,18.07,18.12,826300.0
2013-05-07,18.2,18.45,17.91,18.45,632300.0
2013-05-08,18.42,19.02,18.33,18.94,507100.0
2013-05-09,18.97,19.79,18.94,19.54,1312900.0
2013-05-10,19.6,20.07,19.52,19.8,626000.0
2013-05-13,19.4,20.17,19.34,19.92,651000.0
2013-05-14,19.9,20.165,19.81,19.98,418500.0
2013-05-15,19.98,20.11,19.56,19.59,358000.0
2013-05-16,19.5,19.55,19.25,19.45,507100.0
2013-05-17,19.46,21.19,19.46,21.18,1331200.0
2013-05-20,21.05,21.69,21.0,21.24,825300.0
2013-05-21,21.18,21.34,20.78,21.13,784400.0
2013-05-22,21.12,21.5,20.29,20.36,932600.0
2013-05-23,20.03,20.42,19.99,20.27,566700.0
2013-05-24,20.22,20.42,20.06,20.3,332600.0
2013-05-28,20.49,21.01,20.45,20.82,328700.0
2013-05-29,20.63,20.91,20.43,20.5,224800.0
2013-05-30,20.52,20.69,20.23,20.49,425800.0
2013-05-31,20.31,21.3,20.25,20.83,415600.0
2013-06-03,20.83,21.56,20.68,21.5,822700.0
2013-06-04,21.5,21.95,21.29,21.63,565400.0
2013-06-05,21.56,21.98,21.52,21.81,615000.0
2013-06-06,21.77,22.1,21.61,21.93,704900.0
2013-06-07,21.97,22.48,21.97,22.4,381700.0
2013-06-10,22.03,22.32,21.9,22.14,588100.0
2013-06-11,21.83,22.51,21.53,22.42,527700.0
2013-06-12,22.46,22.64,22.24,22.34,404500.0
2013-06-13,22.28,22.28,21.226999999999997,22.1,535000.0
2013-06-14,22.0,22.28,21.86,22.15,349900.0
2013-06-17,22.13,22.59,22.11,22.56,712600.0
2013-06-18,22.66,22.97,22.47,22.8,373100.0
2013-06-19,22.75,22.83,21.3,21.44,958600.0
2013-06-20,21.27,21.488000000000003,20.065,20.18,942000.0
2013-06-21,20.25,20.96,19.93,20.94,844200.0
2013-06-24,20.78,21.835,20.51,21.74,681400.0
2013-06-25,21.98,22.0,21.65,21.76,433600.0
2013-06-26,21.94,22.51,21.93,21.97,636200.0
2013-06-27,22.14,22.69,21.82,22.57,572700.0
2013-06-28,22.57,22.845,22.23,22.45,693600.0
2013-07-01,22.62,23.1,22.5,22.83,602500.0
2013-07-02,22.83,22.92,22.32,22.42,489200.0
2013-07-03,22.32,22.49,22.17,22.4,268200.0
2013-07-05,22.59,22.88,22.086,22.88,251700.0
2013-07-08,23.01,23.22,22.85,22.97,355000.0
2013-07-09,23.15,23.27,22.07,22.27,640300.0
2013-07-10,22.2,22.59,21.95,22.17,596000.0
2013-07-11,22.51,23.51,22.355999999999998,23.47,814600.0
2013-07-12,23.37,24.01,23.19,23.77,458200.0
2013-07-15,23.86,24.36,23.55,23.57,1242300.0
2013-07-16,23.54,23.8499,22.74,22.78,375700.0
2013-07-17,22.85,23.265,22.11,22.51,558300.0
2013-07-18,22.61,23.1,22.4,22.78,416700.0
2013-07-19,22.69,22.74,22.2801,22.47,285200.0
2013-07-22,22.53,22.82,22.4,22.77,421800.0
2013-07-23,23.01,23.49,22.9,23.21,423200.0
2013-07-24,22.12,22.62,21.78,22.22,677700.0
2013-07-25,22.17,22.96,22.17,22.96,446800.0
2013-07-26,22.76,23.0,22.54,22.62,513400.0
2013-07-29,22.66,22.9,22.47,22.49,426900.0
2013-07-30,22.64,23.3,22.27,22.3,516600.0
2013-07-31,22.31,22.5318,21.76,21.78,555600.0
2013-08-01,22.02,22.41,21.94,22.29,392100.0
2013-08-02,22.28,22.83,22.16,22.62,448900.0
2013-08-05,22.52,22.96,22.34,22.41,287300.0
2013-08-06,22.29,22.64,22.05,22.48,431100.0
2013-08-07,22.35,22.66,21.85,21.98,544600.0
2013-08-08,25.0,27.96,25.0,26.66,2577800.0
2013-08-09,26.5,27.57,26.31,27.09,1157400.0
2013-08-12,27.08,27.33,26.78,26.92,562700.0
2013-08-13,27.02,27.44,26.61,27.41,622300.0
2013-08-14,27.35,27.79,27.14,27.16,614700.0
2013-08-15,26.9,27.179000000000002,26.52,26.565,417200.0
2013-08-16,26.43,26.48,25.84,26.12,841500.0
2013-08-19,25.97,26.66,25.76,26.28,402700.0
2013-08-20,26.25,26.91,26.144000000000002,26.74,210500.0
2013-08-21,26.62,26.91,26.38,26.68,315700.0
2013-08-22,26.81,27.71,26.66,27.58,385300.0
2013-08-23,27.66,27.66,27.05,27.23,697600.0
2013-08-26,27.25,28.17,27.2201,27.7,1080800.0
2013-08-27,27.43,27.48,26.27,26.41,516800.0
2013-08-28,26.38,27.05,26.26,26.75,426200.0
2013-08-29,26.61,27.5001,26.61,27.14,328600.0
2013-08-30,27.06,27.33,26.86,27.05,460500.0
2013-09-03,27.13,27.44,26.43,26.78,352500.0
2013-09-04,26.74,26.99,26.415,26.67,435900.0
2013-09-05,26.61,27.18,26.61,26.97,244200.0
2013-09-06,27.18,27.18,26.08,26.67,318900.0
2013-09-09,26.67,27.39,26.67,27.39,573800.0
2013-09-10,27.6,28.11,27.5999,27.99,434800.0
2013-09-11,28.0,28.4799,27.59,27.95,328300.0
2013-09-12,27.92,27.95,27.48,27.51,211900.0
2013-09-13,27.99,28.01,27.34,27.34,556600.0
2013-09-16,27.75,27.848000000000003,26.92,26.93,335900.0
2013-09-17,26.97,27.6899,26.79,27.62,540700.0
2013-09-18,27.56,28.12,27.35,28.05,362000.0
2013-09-19,28.06,28.43,28.01,28.34,303000.0
2013-09-20,28.5,28.5,28.065,28.13,922300.0
2013-09-23,28.03,28.42,27.8003,28.3,448400.0
2013-09-24,28.26,28.55,27.8809,28.01,357800.0
2013-09-25,27.97,28.26,27.24,27.48,520100.0
2013-09-26,27.65,29.24,27.63,29.19,573700.0
2013-09-27,28.74,29.13,25.49,27.23,3778800.0
2013-09-30,26.86,28.353,26.66,28.22,1049600.0
2013-10-01,28.21,28.369,27.76,28.17,459200.0
2013-10-02,27.82,28.95,27.79,28.73,398500.0
2013-10-03,28.75,29.165,27.94,28.37,326000.0
2013-10-04,28.37,28.92,28.03,28.04,452200.0
2013-10-07,27.95,28.3,27.76,27.85,293900.0
2013-10-08,27.83,28.31,27.1975,27.28,482200.0
2013-10-09,27.38,27.46,26.68,26.8,389100.0
2013-10-10,27.2,27.84,26.84,27.46,335900.0
2013-10-11,27.34,27.62,27.07,27.45,395100.0
2013-10-14,27.36,29.11,27.25,29.04,699900.0
2013-10-15,29.39,30.47,29.15,29.47,1029400.0
2013-10-16,29.63,30.09,29.48,29.74,311800.0
2013-10-17,29.64,30.5,29.42,30.21,442700.0
