date,open,high,low,close,volume
2013-03-28,12.64,12.68,12.34,12.37,1209700.0
2013-04-01,12.37,12.39,12.08,12.17,1685000.0
2013-04-02,12.26,12.35,12.035,12.08,1068300.0
2013-04-03,12.12,12.12,11.76,11.82,1029400.0
2013-04-04,11.86,12.035,11.77,12.0,630000.0
2013-04-05,11.79,12.1,11.79,12.08,711900.0
2013-04-08,12.09,12.54,12.09,12.54,588500.0
2013-04-09,12.53,12.71,12.47,12.6,1514200.0
2013-04-10,12.66,13.01,12.58,12.8,1657300.0
2013-04-11,12.75,12.91,12.719000000000001,12.76,934900.0
2013-04-12,12.72,12.81,12.66,12.67,1074800.0
2013-04-15,12.63,12.75,12.25,12.25,1171800.0
2013-04-16,12.34,12.48,12.22,12.37,804400.0
2013-04-17,12.25,12.32,12.04,12.11,1179600.0
2013-04-18,12.16,12.16,11.99,12.02,1087200.0
2013-04-19,12.04,12.26,11.9475,12.12,1086800.0
2013-04-22,12.12,12.415,12.0,12.37,944600.0
2013-04-23,12.45,12.61,12.31,12.45,1892800.0
2013-04-24,12.43,12.61,12.36,12.45,1234500.0
2013-04-25,12.45,12.77,12.388,12.73,1332300.0
2013-04-26,12.7,12.8,12.53,12.54,2011100.0
2013-04-29,12.55,12.89,12.37,12.77,1005100.0
2013-04-30,12.73,12.83,12.61,12.63,871000.0
2013-05-01,12.55,12.69,12.315,12.32,1266200.0
2013-05-02,12.37,12.62,12.31,12.53,750500.0
2013-05-03,12.65,12.98,12.65,12.69,1481500.0
2013-05-06,12.72,12.95,12.69,12.95,1481100.0
2013-05-07,13.0,13.302,12.9995,13.23,2084000.0
2013-05-08,13.23,13.91,13.0802,13.91,2433900.0
2013-05-09,13.93,14.06,13.65,13.78,1990000.0
2013-05-10,13.82,14.13,13.76,14.07,1166700.0
2013-05-13,14.0,14.1,13.86,13.88,900800.0
2013-05-14,13.99,14.15,13.93,14.03,1634400.0
2013-05-15,13.99,14.1,13.8,13.89,1273800.0
2013-05-16,13.82,13.95,13.64,13.69,583400.0
2013-05-17,13.79,13.88,13.63,13.88,1609500.0
2013-05-20,13.88,13.98,13.66,13.72,1055800.0
2013-05-21,13.71,13.95,13.6,13.9,1001900.0
2013-05-22,13.9,14.06,13.44,13.57,1927400.0
2013-05-23,13.39,13.84,13.37,13.78,1687900.0
2013-05-24,13.75,14.14,13.56,14.1,1064800.0
2013-05-28,14.29,14.65,14.28,14.49,1930900.0
2013-05-29,14.36,14.44,13.9,13.91,1256300.0
2013-05-30,13.94,14.08,13.8,13.99,1207100.0
2013-05-31,13.93,14.14,13.61,13.61,1414000.0
2013-06-03,13.69,13.84,13.48,13.84,1317800.0
2013-06-04,13.82,14.09,13.66,13.75,1230700.0
2013-06-05,13.69,13.85,13.38,13.48,1576300.0
2013-06-06,13.45,13.69,13.39,13.69,1116000.0
2013-06-07,13.78,14.11,13.62,14.09,668700.0
2013-06-10,14.1,14.26,14.02,14.07,1309000.0
2013-06-11,13.89,13.94,13.6,13.84,1167300.0
2013-06-12,13.95,16.31,13.85,16.17,10272800.0
