date,open,high,low,close,volume
2013-03-28,14.426482534524778,14.81566206336312,14.359382615759545,14.627782290820472,9693400.0
2013-04-01,14.668042242079611,14.829082047116168,14.533842404549148,14.829082047116168,2912000.0
2013-04-02,14.869341998375306,14.990121852152722,14.614362307067427,14.788822095857029,4470000.0
2013-04-03,14.802242079610073,14.85592201462226,14.64120227457352,14.708302193338753,2822200.0
2013-04-04,14.92302193338749,15.285361494719742,14.694882209585703,14.92302193338749,8756800.0
2013-04-05,14.788822095857029,15.191421608448415,14.735142160844845,15.057221770917955,3845200.0
2013-04-08,15.057221770917955,15.137741673436231,14.869341998375306,15.124321689683184,2108200.0
2013-04-09,15.137741673436231,15.151161657189276,14.896181965881398,15.016961819658814,3831000.0
2013-04-10,15.070641754671,15.83558082859464,15.070641754671,15.51350121852153,11706900.0
2013-04-11,15.392721364744112,15.54034118602762,15.11090170593014,15.178001624695373,21474200.0
2013-04-12,15.164581640942323,15.661121039805035,14.60094232331438,15.459821283509342,18435200.0
2013-04-15,14.882761982128352,15.178001624695373,14.64120227457352,14.829082047116168,9245300.0
2013-04-16,14.909601949634444,15.178001624695373,14.829082047116168,14.829082047116168,8592700.0
2013-04-17,14.896181965881398,15.03038180341186,14.60094232331438,14.788822095857029,7395500.0
2013-04-18,14.829082047116168,15.137741673436231,14.802242079610073,15.016961819658814,4674100.0
2013-04-19,15.11090170593014,15.124321689683184,14.869341998375306,14.92302193338749,3005500.0
2013-04-22,14.949861900893584,15.339041429731926,14.909601949634444,15.32562144597888,4282600.0
2013-04-23,15.32562144597888,15.714800974817225,15.204841592201465,15.68796100731113,6017100.0
2013-04-24,15.701380991064177,15.822160844841592,15.486661251015436,15.7953208773355,10269200.0
2013-04-25,15.916100731112918,16.184500406173843,15.68796100731113,16.036880584890334,11929100.0
2013-04-26,16.036880584890334,16.036880584890334,15.72822095857027,15.956360682372058,5334200.0
2013-04-29,15.902680747359872,16.09056051990252,15.83558082859464,16.036880584890334,6944400.0
2013-04-30,15.969780666125104,16.09056051990252,15.500081234768484,15.889260763606824,40564900.0
2013-05-01,16.25,16.99,16.01,16.52,22690400.0
2013-05-02,16.7,18.0,16.55,17.72,13535900.0
2013-05-03,17.75,18.0,17.43,17.5,9680300.0
2013-05-06,17.68,17.84,16.92,17.64,8291000.0
2013-05-07,17.6,18.0,17.4,17.91,5099500.0
2013-05-08,17.97,18.44,17.62,17.77,7033300.0
2013-05-09,17.91,18.39,17.85,18.28,4897600.0
2013-05-10,18.29,18.67,18.1,18.64,3346500.0
2013-05-13,19.0,19.42,18.88,18.92,6568900.0
2013-05-14,18.95,19.14,18.67,18.98,3213600.0
2013-05-15,19.1,19.34,18.98,19.26,3851800.0
2013-05-16,19.22,19.85,19.13,19.69,7410600.0
2013-05-17,19.58,20.05,19.22,19.92,5115500.0
2013-05-20,20.25,20.58,20.02,20.53,5891800.0
2013-05-21,20.59,21.22,20.53,20.86,6942500.0
2013-05-22,20.77,20.94,20.05,20.06,5627100.0
2013-05-23,19.26,20.49,19.22,20.38,5628600.0
2013-05-24,20.4,20.62,20.22,20.54,2576700.0
2013-05-28,20.47,20.82,20.45,20.56,3221800.0
2013-05-29,20.62,21.07,20.43,20.98,5338200.0
2013-05-30,21.04,21.62,20.97,21.36,5131100.0
2013-05-31,21.41,21.87,21.41,21.43,4035300.0
2013-06-03,21.76,21.87,20.73,20.83,6642800.0
2013-06-04,20.74,20.99,20.3,20.82,7073400.0
2013-06-05,20.82,20.85,20.32,20.37,5535300.0
2013-06-06,20.36,20.79,20.31,20.66,3957800.0
2013-06-07,20.75,21.97,20.67,21.31,6636300.0
2013-06-10,21.42,21.7,21.09,21.2,3079700.0
2013-06-11,20.94,21.68,20.93,21.44,3540900.0
2013-06-12,21.5,21.54,21.23,21.3,3158400.0
2013-06-13,21.05,21.99,20.95,21.84,4448900.0
2013-06-14,21.54,22.97,21.5,22.16,5845600.0
2013-06-17,22.16,22.62,22.13,22.32,3114200.0
2013-06-18,22.46,22.6,22.25,22.48,2651500.0
2013-06-19,22.43,22.54,22.23,22.23,4698900.0
2013-06-20,22.25,22.98,21.6,22.93,7574400.0
2013-06-21,22.98,23.29,22.38,22.82,6897400.0
2013-06-24,21.87,22.35,21.7,22.24,5754500.0
2013-06-25,22.35,23.1,22.32,23.02,3668700.0
2013-06-26,23.1,23.82,23.1,23.64,5379100.0
2013-06-27,23.73,24.63,23.57,24.55,5242800.0
2013-06-28,24.5,25.02,24.32,24.81,7096800.0
2013-07-01,24.75,24.87,23.59,23.72,6737800.0
2013-07-02,23.77,23.8,23.18,23.37,4943100.0
2013-07-03,22.74,23.36,22.74,23.05,2888500.0
2013-07-05,23.3,23.54,23.15,23.46,2106900.0
2013-07-08,23.47,23.58,23.15,23.33,2188300.0
2013-07-09,23.45,24.71,23.32,24.09,6710200.0
2013-07-10,24.09,24.64,23.96,24.42,6702400.0
2013-07-11,24.51,25.05,24.5,24.96,4724300.0
2013-07-12,24.96,24.99,24.52,24.94,3315800.0
2013-07-15,25.6,25.72,24.92,25.34,5596800.0
2013-07-16,25.29,25.33,24.21,24.37,3532100.0
2013-07-17,24.55,25.04,24.22,24.5,3006500.0
2013-07-18,24.62,24.75,24.39,24.55,1625000.0
2013-07-19,24.59,24.8,24.42,24.56,2187700.0
2013-07-22,24.54,24.72,24.42,24.51,893400.0
2013-07-23,24.6,24.69,23.96,24.22,2305300.0
2013-07-24,24.26,24.5,23.99,24.21,2114700.0
2013-07-25,24.17,24.43,24.15,24.41,896800.0
2013-07-26,24.26,24.52,24.11,24.17,1281300.0
2013-07-29,24.17,24.24,23.83,23.94,2116100.0
2013-07-30,24.11,24.44,23.74,23.78,2963700.0
2013-07-31,23.88,24.22,23.75,24.11,2415900.0
2013-08-01,24.3,24.35,24.06,24.23,1334200.0
2013-08-02,24.28,24.74,24.16,24.72,2149900.0
2013-08-05,24.66,24.78,24.4,24.7,2187200.0
2013-08-06,24.51,24.82,23.93,24.06,5838000.0
2013-08-07,24.2,24.21,23.55,24.01,3746900.0
2013-08-08,25.74,25.74,24.55,25.0,6393900.0
2013-08-09,25.17,25.9,25.13,25.23,4514900.0
2013-08-12,25.59,25.7,24.96,25.01,3225500.0
2013-08-13,25.0,25.28,24.44,25.01,4136000.0
2013-08-14,24.91,24.96,24.25,24.4,3995500.0
2013-08-15,24.21,24.32,23.88,24.14,2175500.0
2013-08-16,24.05,24.14,23.75,23.85,2604700.0
2013-08-19,23.65,23.75,23.11,23.33,4324100.0
2013-08-20,23.24,23.66,23.15,23.49,1781900.0
2013-08-21,23.76,24.18,23.22,23.29,2175100.0
2013-08-22,23.55,23.89,23.5,23.63,1518200.0
2013-08-23,23.83,23.99,23.68,23.89,2156100.0
2013-08-26,23.97,24.06,23.75,23.83,1093500.0
2013-08-27,23.6,23.73,23.41,23.58,1768700.0
2013-08-28,23.44,23.62,22.95,23.14,2686200.0
2013-08-29,23.17,23.5,23.04,23.24,1808100.0
2013-08-30,23.31,23.5,23.2,23.35,1211600.0
2013-09-03,23.54,24.35,23.52,24.04,4321900.0
2013-09-04,24.0,24.64,23.94,24.64,4552500.0
2013-09-05,24.73,24.88,24.3,24.58,2838200.0
2013-09-06,24.88,25.01,24.51,24.53,2719400.0
2013-09-09,24.51,24.88,24.47,24.74,2315600.0
2013-09-10,24.81,25.32,24.81,25.26,2398900.0
2013-09-11,25.26,25.57,25.12,25.55,1725400.0
2013-09-12,25.63,25.74,25.33,25.44,2880400.0
2013-09-13,25.41,25.64,24.5,24.71,3900800.0
2013-09-16,24.94,25.1,24.62,24.67,2289000.0
2013-09-17,24.73,25.15,24.57,25.09,2747600.0
2013-09-18,25.09,25.32,25.01,25.2,2765000.0
2013-09-19,25.34,25.34,24.84,25.06,3359000.0
2013-09-20,25.07,25.11,24.7,24.97,2944600.0
2013-09-23,25.02,25.11,24.67,24.92,1899900.0
2013-09-24,25.14,25.87,25.01,25.44,6312200.0
2013-09-25,25.5,26.49,25.5,26.08,5705400.0
2013-09-26,26.16,26.66,25.99,26.12,3319600.0
2013-09-27,25.95,26.1,25.6,26.07,2401800.0
2013-09-30,25.81,26.16,25.65,25.97,1668200.0
2013-10-01,26.35,26.72,26.29,26.44,2643900.0
2013-10-02,26.34,26.66,26.05,26.61,2567600.0
2013-10-03,26.44,26.77,26.34,26.48,3328300.0
2013-10-04,26.45,26.73,26.34,26.38,2289100.0
2013-10-07,26.33,26.35,25.94,25.95,1484700.0
2013-10-08,25.99,26.19,25.68,25.82,2503800.0
2013-10-09,25.73,25.8,25.13,25.36,3765800.0
2013-10-10,25.76,26.29,25.73,25.97,2737800.0
2013-10-11,25.81,26.34,25.81,26.21,1079400.0
2013-10-14,26.13,26.5,26.07,26.48,1121300.0
2013-10-15,26.3,26.56,26.12,26.19,1177500.0
2013-10-16,26.46,27.0,26.37,26.86,2509000.0
2013-10-17,26.81,27.45,26.75,27.44,1642900.0
2013-10-18,28.09,28.13,27.55,27.69,2349500.0
2013-10-21,27.99,27.99,27.34,27.36,1660300.0
2013-10-22,27.45,27.69,27.1,27.47,1727800.0
2013-10-23,27.34,27.48,27.09,27.4,1733300.0
2013-10-24,27.47,27.61,27.28,27.58,980500.0
2013-10-25,27.58,27.74,27.26,27.56,849600.0
2013-10-28,27.56,27.59,27.23,27.44,1246900.0
2013-10-29,27.5,27.83,27.49,27.7,2473900.0
2013-10-30,27.78,27.83,27.34,27.82,2189100.0
2013-10-31,27.82,27.85,27.13,27.73,3276900.0
2013-11-01,27.83,28.25,27.61,27.89,1937500.0
2013-11-04,28.4,28.4,27.63,28.34,6393800.0
2013-11-05,29.25,29.5,26.93,28.12,10340000.0
2013-11-06,28.56,28.7,27.96,28.03,3065100.0
2013-11-07,27.98,27.98,26.45,26.56,5211200.0
2013-11-08,26.61,27.7,26.5,27.68,4087300.0
2013-11-11,27.61,27.95,26.93,26.97,2589300.0
2013-11-12,26.25,27.26,25.53,26.09,9551200.0
2013-11-13,26.09,26.12,25.73,26.05,3460300.0
2013-11-14,26.1,26.25,25.28,25.5,8069700.0
2013-11-15,25.03,26.26,24.9,26.05,68946800.0
2013-11-18,26.45,26.45,25.92,25.99,13251400.0
2013-11-19,25.97,26.26,25.81,26.1,9707100.0
2013-11-20,26.08,26.6,26.08,26.36,5991300.0
2013-11-21,26.41,26.8,26.24,26.78,6942900.0
2013-11-22,26.71,26.76,26.13,26.43,5813600.0
2013-11-25,26.58,26.58,25.91,26.12,7402100.0
2013-11-26,26.33,26.44,26.04,26.34,8027600.0
2013-11-27,26.48,26.56,25.91,26.06,5617400.0
2013-11-29,26.1,26.17,25.78,26.01,2876300.0
2013-12-02,26.03,26.5,26.01,26.49,5239000.0
2013-12-03,26.32,27.06,26.24,26.98,7859700.0
2013-12-04,26.87,27.05,26.62,26.92,4419100.0
2013-12-05,26.83,26.89,26.21,26.3,5320800.0
2013-12-06,26.46,26.66,26.23,26.33,4837200.0
2013-12-09,26.29,26.73,26.27,26.61,4393700.0
2013-12-10,26.58,26.68,26.22,26.26,4087100.0
2013-12-11,26.34,26.38,26.02,26.06,3637100.0
2013-12-12,26.11,26.11,25.21,25.44,5810400.0
2013-12-13,25.59,28.19,25.24,27.64,13508800.0
2013-12-16,26.97,27.6,26.24,26.39,12783300.0
2013-12-17,26.19,26.74,26.13,26.68,6599500.0
2013-12-18,26.76,27.55,26.57,27.25,9086700.0
2013-12-19,27.39,29.84,27.37,29.61,15611200.0
2013-12-20,29.72,31.13,29.72,31.0,22554800.0
2013-12-23,31.03,31.95,30.98,31.86,9588400.0
2013-12-24,31.9,32.42,31.52,32.19,4442800.0
2013-12-26,32.85,32.95,32.04,32.93,10845800.0
2013-12-27,32.92,34.1,32.56,33.31,6113300.0
2013-12-30,33.44,33.58,33.01,33.05,5003200.0
2013-12-31,33.23,33.78,33.1,33.64,3952500.0
2014-01-02,33.03,33.48,32.74,33.37,6512500.0
2014-01-03,32.42,32.57,31.9,32.28,8686100.0
2014-01-06,32.26,33.52,32.02,33.48,9332400.0
2014-01-07,33.89,33.92,32.78,33.22,7008000.0
