date,open,high,low,close,volume
2013-03-28,60.45,61.6,60.06,61.26,152300.0
2013-04-01,61.18,61.33,59.5,60.16,190100.0
2013-04-02,60.46,61.05,60.11,60.38,105400.0
2013-04-03,60.45,60.69,59.59,59.75,131100.0
2013-04-04,59.56,59.89,59.36,59.87,140300.0
2013-04-05,58.84,59.22,58.65,58.89,133400.0
2013-04-08,59.07,59.65,58.66,59.52,83000.0
2013-04-09,59.55,59.75,58.07,58.16,218300.0
2013-04-10,58.2,60.1,58.2,60.01,130800.0
2013-04-11,59.99,60.11,59.56,59.64,124500.0
2013-04-12,59.41,59.74,58.56,59.46,104800.0
2013-04-15,59.11,59.51,57.16,57.26,122500.0
2013-04-16,57.5,59.04,57.34,58.97,125200.0
2013-04-17,58.48,58.67,57.0,57.33,125700.0
2013-04-18,57.54,58.32,57.21,57.49,161800.0
2013-04-19,57.49,59.19,57.14,58.5,172700.0
2013-04-22,58.78,58.78,57.23,58.16,86700.0
2013-04-23,58.48,59.25,58.27,59.06,124400.0
2013-04-24,58.86,59.24,58.46,58.87,117800.0
2013-04-25,59.52,63.25,59.52,62.63,304200.0
2013-04-26,62.75,62.75,61.84,62.05,231400.0
2013-04-29,62.07,63.91,62.07,63.79,125700.0
2013-04-30,63.38,63.49,62.85,63.24,168100.0
2013-05-01,62.85,63.59,62.45,62.46,247700.0
2013-05-02,62.72,63.76,62.59,63.58,200500.0
2013-05-03,64.05,65.27,63.83,64.01,302400.0
2013-05-06,64.22,64.3,63.19,63.71,108000.0
2013-05-07,63.72,65.44,63.72,65.39,184400.0
2013-05-08,65.39,65.67,64.96,65.43,198700.0
2013-05-09,65.53,65.53,64.7,64.95,174700.0
2013-05-10,65.0,65.66,64.59,65.0,129900.0
2013-05-13,64.6,65.27,64.49,64.94,74900.0
2013-05-14,65.0,65.87,64.91,65.83,287100.0
2013-05-15,65.54,67.25,65.47,67.17,250400.0
2013-05-16,67.21,68.34,67.06,68.03,200900.0
2013-05-17,68.5,68.63,67.81,68.63,183700.0
2013-05-20,68.63,68.77,67.43,67.65,129000.0
2013-05-21,67.51,67.71,66.93,67.56,114200.0
2013-05-22,67.44,67.86,66.13,66.83,136400.0
2013-05-23,66.39,67.49,66.39,66.85,98900.0
2013-05-24,66.45,67.38,66.1,67.19,91500.0
2013-05-28,68.0,68.5,67.57,68.12,148800.0
2013-05-29,67.75,67.83,66.59,67.69,163200.0
2013-05-30,67.76,70.26,67.75,69.91,372900.0
2013-05-31,69.56,70.31,68.83,69.01,323800.0
