date,open,high,low,close,volume
2013-03-28,46.35,47.24,46.25,47.13,118800.0
2013-04-01,47.09,47.2,45.73,46.15,168100.0
2013-04-02,46.15,46.32,45.7,45.76,159500.0
2013-04-03,45.81,46.11,44.88,45.0,160400.0
2013-04-04,45.15,45.49,44.8,45.28,117700.0
2013-04-05,44.87,45.12,44.69,44.96,71300.0
2013-04-08,45.08,45.42,44.72,45.37,74000.0
2013-04-09,45.41,45.49,45.11,45.3,76700.0
2013-04-10,45.36,46.33,45.28,46.18,87100.0
2013-04-11,46.28,46.63,46.01,46.56,99900.0
2013-04-12,46.43,46.68,45.84,45.98,74400.0
2013-04-15,45.86,45.965,44.86,45.02,177800.0
2013-04-16,45.35,45.49,44.81,45.37,83900.0
2013-04-17,44.99,45.2,44.57,44.86,152700.0
2013-04-18,44.89,45.14,44.07,44.12,103900.0
2013-04-19,44.31,44.67,43.92,44.52,79800.0
2013-04-22,44.5,45.11,44.16,45.0,151900.0
2013-04-23,45.3,46.13,45.18,46.06,77800.0
2013-04-24,46.07,46.1,45.53,45.71,87100.0
2013-04-25,45.88,46.36,45.73,46.1,34900.0
2013-04-26,46.05,46.19,45.57,45.75,99000.0
2013-04-29,45.94,46.65,45.08,46.2,70600.0
2013-04-30,46.3,46.78,45.7701,46.65,232800.0
2013-05-01,46.43,46.94,45.94,45.95,171600.0
2013-05-02,44.58,45.68,43.72,45.57,470000.0
2013-05-03,45.89,46.505,45.54600000000001,46.07,260400.0
2013-05-06,46.03,46.4,46.012,46.07,207300.0
2013-05-07,45.76,46.73,45.76,46.67,200900.0
2013-05-08,46.46,46.86,46.25,46.4,294300.0
2013-05-09,46.28,46.84,46.08,46.73,223700.0
2013-05-10,46.88,46.99,46.4565,46.58,83700.0
2013-05-13,46.43,46.66,46.43,46.56,177800.0
2013-05-14,46.49,46.79,46.42,46.6,214000.0
2013-05-15,46.57,46.64,46.35,46.49,237400.0
2013-05-16,46.48,46.68,46.1,46.17,87700.0
2013-05-17,46.42,46.56,46.0,46.21,143100.0
2013-05-20,46.24,46.32,46.05,46.19,131900.0
2013-05-21,46.25,46.8,46.19,46.62,122700.0
2013-05-22,46.57,46.66,45.27,45.39,184200.0
2013-05-23,44.93,46.47,44.7801,46.31,153400.0
2013-05-24,45.95,46.17,45.4,45.91,76900.0
2013-05-28,46.22,47.19,45.95,46.81,140500.0
2013-05-29,46.5,46.61,45.96,45.96,163900.0
2013-05-30,45.9,46.47,45.81,46.3,134600.0
2013-05-31,46.16,46.48,45.64,45.66,110300.0
2013-06-03,45.61,45.88,45.22,45.66,152600.0
2013-06-04,45.58,45.8,45.04,45.44,294800.0
2013-06-05,45.35,45.6,44.985,45.24,173600.0
2013-06-06,45.1,45.37,44.54,45.27,132200.0
2013-06-07,45.56,45.66,45.141000000000005,45.48,102500.0
2013-06-10,45.59,46.1,45.38,45.95,88000.0
2013-06-11,45.43,46.19,45.04,45.72,78000.0
2013-06-12,46.14,46.5299,45.06,45.13,84500.0
2013-06-13,44.97,45.91,44.76,45.73,82100.0
2013-06-14,45.77,45.77,45.18,45.42,91400.0
2013-06-17,45.65,45.7,45.22,45.49,83900.0
2013-06-18,45.4,45.88,45.31,45.64,114800.0
2013-06-19,45.68,45.68,44.94,44.98,52400.0
2013-06-20,44.67,44.77,44.01,44.04,135200.0
2013-06-21,44.18,44.59,43.39,43.97,296100.0
2013-06-24,43.44,44.35,42.86,42.87,178100.0
2013-06-25,43.17,43.37,42.507,43.14,140800.0
2013-06-26,43.53,43.53,42.61,42.69,250700.0
2013-06-27,43.0,43.37,42.63,43.21,322400.0
2013-06-28,43.15,43.73,42.86,43.44,360500.0
2013-07-01,43.62,44.32,43.42,43.99,177700.0
2013-07-02,43.91,44.48,43.77,44.1,163500.0
2013-07-03,44.03,44.42,43.69,44.13,127200.0
2013-07-05,44.42,44.66,44.22,44.39,144400.0
2013-07-08,44.47,44.62,44.14,44.3,180300.0
2013-07-09,44.4,44.6,43.98,44.55,316500.0
2013-07-10,44.45,45.0,44.44,44.75,136200.0
2013-07-11,45.12,45.78,45.04,45.6,142900.0
2013-07-12,45.5,46.17,45.25,46.05,126800.0
2013-07-15,46.04,46.29,45.684,46.14,120700.0
2013-07-16,46.25,46.27,45.92,46.12,106800.0
2013-07-17,46.17,46.275,45.68,45.91,144400.0
2013-07-18,45.99,46.47,45.79,46.41,120000.0
2013-07-19,46.11,46.35,45.97,46.25,100100.0
2013-07-22,46.18,46.385,45.86,46.31,71600.0
2013-07-23,46.29,46.64,46.04,46.37,110000.0
2013-07-24,46.49,46.73,46.14,46.32,92000.0
2013-07-25,46.29,46.69,45.96,46.43,107000.0
2013-07-26,46.21,46.42,45.68,46.14,94900.0
2013-07-29,46.12,46.33,45.76,46.07,76600.0
2013-07-30,46.26,46.78,45.88,46.22,118000.0
2013-07-31,46.38,46.67,46.09,46.17,155000.0
2013-08-01,46.52,48.37,46.17,47.85,390700.0
2013-08-02,47.5,47.79,47.295,47.57,103000.0
2013-08-05,47.38,48.14,47.38,48.12,103900.0
2013-08-06,48.0,49.3799,46.59,48.03,250200.0
2013-08-07,47.54,47.75,47.32,47.5,183900.0
2013-08-08,47.72,47.73,47.27,47.5,116500.0
2013-08-09,47.22,47.88,47.215,47.5,91900.0
2013-08-12,47.36,48.21,47.36,48.15,86200.0
2013-08-13,48.07,48.54,47.79,48.27,104300.0
2013-08-14,48.45,48.56,48.08,48.11,122000.0
2013-08-15,47.55,47.76,47.17,47.46,123800.0
2013-08-16,47.45,47.76,47.09,47.26,132900.0
2013-08-19,47.16,47.69,46.7501,47.07,205100.0
2013-08-20,47.13,48.08,47.08,47.52,184500.0
2013-08-21,47.51,47.95,47.22,47.23,170100.0
2013-08-22,47.36,47.64,46.66,47.37,94400.0
2013-08-23,47.4,47.61,46.91,47.33,127800.0
2013-08-26,47.27,47.55,47.0,47.27,111100.0
2013-08-27,46.75,47.05,46.56,46.63,132700.0
2013-08-28,46.63,46.95,46.41,46.47,111500.0
2013-08-29,46.17,47.0,46.01,46.8,110500.0
2013-08-30,46.74,46.74,45.51,45.6,137900.0
2013-09-03,46.09,46.38,44.58,45.8,565800.0
2013-09-04,45.76,46.04,45.62,45.86,253200.0
2013-09-05,45.93,46.15,45.63,45.93,139100.0
2013-09-06,45.99,46.07,45.29,45.78,206700.0
2013-09-09,45.88,46.5,45.81,46.37,101600.0
2013-09-10,46.48,47.41,46.48,47.38,125800.0
2013-09-11,46.73,46.75,45.14,45.73,384000.0
2013-09-12,45.62,45.68,44.35,44.86,293000.0
2013-09-13,45.04,45.27,44.1,44.69,353400.0
2013-09-16,45.21,45.68,44.3,44.4,282400.0
2013-09-17,44.52,44.89,44.36,44.61,230000.0
2013-09-18,44.51,44.74,43.92,44.37,239600.0
2013-09-19,44.38,44.76,44.34,44.56,154000.0
2013-09-20,44.56,44.74,44.25,44.47,343700.0
2013-09-23,44.46,44.71,44.26,44.51,185200.0
2013-09-24,44.64,45.32,44.32,45.22,266100.0
2013-09-25,45.17,45.81,44.93,45.59,280700.0
2013-09-26,45.54,45.97,45.39,45.73,186300.0
2013-09-27,45.6,45.815,45.0,45.52,231400.0
2013-09-30,45.07,45.57,45.0,45.56,361900.0
2013-10-01,45.49,47.0,45.25,46.57,472200.0
2013-10-02,46.18,46.84,46.12,46.6,170300.0
2013-10-03,46.43,46.57,45.81,46.17,225700.0
2013-10-04,46.17,46.83,46.11,46.52,86800.0
2013-10-07,46.1,46.46,45.8627,46.14,157400.0
2013-10-08,46.04,46.75,45.62,45.91,157000.0
2013-10-09,46.04,46.33,45.425,46.15,161600.0
2013-10-10,46.53,46.83,46.21,46.71,382300.0
2013-10-11,46.53,47.2,46.53,47.17,134700.0
2013-10-14,46.65,47.2,46.42,47.18,101700.0
2013-10-15,47.12,47.16,46.39,46.94,325500.0
2013-10-16,47.2,47.32,46.75,47.23,195000.0
2013-10-17,47.16,47.91,46.77,47.86,121600.0
2013-10-18,47.77,47.97,47.343999999999994,47.9,133700.0
2013-10-21,47.87,48.265,47.68,48.25,97200.0
2013-10-22,48.27,48.36,47.89,48.1,135300.0
2013-10-23,47.71,47.71,47.16,47.33,80000.0
2013-10-24,47.46,47.65,46.82,46.9,144900.0
2013-10-25,47.03,47.32,46.272,47.25,143100.0
2013-10-28,47.35,48.21,47.11,48.19,404100.0
2013-10-29,48.19,48.81,47.87,48.59,247600.0
2013-10-30,48.75,48.75,48.35,48.53,175600.0
2013-10-31,48.58,48.9,48.14,48.31,103500.0
2013-11-01,48.45,48.61,47.86,48.28,121000.0
2013-11-04,48.32,49.0,48.2,48.5,150300.0
2013-11-05,52.55,53.66,52.0,52.82,765900.0
2013-11-06,52.98,53.43,51.53,51.55,483600.0
2013-11-07,51.53,51.77,50.52,50.72,515600.0
2013-11-08,50.67,51.17,50.17,50.62,359100.0
2013-11-11,50.75,50.79,50.15,50.4,196500.0
2013-11-12,50.42,51.18,50.19,51.13,144500.0
2013-11-13,50.77,51.1,50.566,51.08,136800.0
2013-11-14,50.96,51.3,50.67,51.27,109300.0
2013-11-15,51.41,51.69,51.2,51.54,207900.0
2013-11-18,51.45,51.85,51.31,51.45,181900.0
2013-11-19,51.56,52.16,51.375,51.5,161800.0
2013-11-20,51.73,52.34,51.36,52.01,223600.0
2013-11-21,52.15,52.15,51.63,51.75,149600.0
2013-11-22,51.71,51.93,51.48,51.89,106000.0
2013-11-25,52.0,52.34,51.62,52.27,90100.0
2013-11-26,52.19,52.335,51.7625,52.11,125600.0
2013-11-27,52.15,52.25,51.77,52.17,72300.0
2013-11-29,52.17,52.32,51.79,51.84,60000.0
2013-12-02,51.94,52.57,51.31,52.19,189800.0
2013-12-03,52.2,52.6,51.99,52.23,229200.0
2013-12-04,51.98,52.11,50.91,51.56,215700.0
2013-12-05,51.33,51.525,50.663999999999994,50.945,249200.0
2013-12-06,51.34,52.43,51.13,51.86,243300.0
2013-12-09,51.86,52.07,51.46,51.69,154800.0
2013-12-10,51.48,51.75,50.875,50.91,187500.0
2013-12-11,50.93,51.79,50.52,50.57,224300.0
2013-12-12,50.45,51.13,50.091,50.68,186400.0
2013-12-13,50.73,51.2499,50.03,50.3,94000.0
2013-12-16,50.38,51.28,50.38,51.16,124200.0
2013-12-17,51.03,51.46,50.87,50.99,158600.0
2013-12-18,50.96,51.55,50.27,51.48,144600.0
2013-12-19,51.54,52.35,50.86,51.97,269400.0
2013-12-20,51.88,52.82,51.68,52.67,412300.0
2013-12-23,52.8,54.13,52.75,54.11,416100.0
2013-12-24,53.88,54.61,53.88,54.29,156500.0
2013-12-26,54.42,55.22,54.42,55.12,178300.0
2013-12-27,54.95,55.05,54.44,54.49,136000.0
2013-12-30,54.55,54.955,53.9,54.03,147800.0
2013-12-31,54.16,54.72,53.601000000000006,54.08,124600.0
2014-01-02,53.84,54.4,52.9,53.18,190800.0
2014-01-03,53.26,53.79,53.15,53.58,102900.0
2014-01-06,53.65,53.97,53.1103,53.4,219200.0
2014-01-07,53.54,54.14,53.23,53.95,192900.0
2014-01-08,53.74,54.24,53.48,53.91,202100.0
2014-01-09,54.04,54.24,53.49,54.16,122000.0
2014-01-10,54.21,54.32,53.66,54.28,158900.0
2014-01-13,54.02,54.55,53.37,53.66,136900.0
2014-01-14,53.76,54.63,53.36,54.6,121600.0
2014-01-15,54.63,54.82,54.49,54.62,140100.0
2014-01-16,54.41,54.91,54.12,54.19,97300.0
2014-01-17,54.19,54.37,53.65,53.87,117400.0
2014-01-21,54.27,54.47,53.8,53.9,129400.0
2014-01-22,53.91,54.3,53.86,54.08,107100.0
2014-01-23,53.74,53.88,53.41,53.61,147400.0
2014-01-24,53.45,53.57,52.67,53.08,247900.0
2014-01-27,53.05,53.66,52.76,53.31,252200.0
2014-01-28,53.19,53.82,53.1601,53.7,175700.0
2014-01-29,53.26,53.76,53.26,53.56,244100.0
2014-01-30,54.37,55.85,54.0,55.81,387100.0
2014-01-31,55.55,55.73,54.79,54.96,237300.0
2014-02-03,54.95,55.3,52.65,53.2,506700.0
2014-02-04,53.46,54.083999999999996,52.715,53.57,284700.0
2014-02-05,53.3,53.67,52.61,53.57,172100.0
2014-02-06,53.59,54.19,53.04,53.94,75400.0
2014-02-07,54.3,54.7425,54.06,54.62,118200.0
2014-02-10,54.4,54.83,54.16,54.55,253900.0
2014-02-11,54.59,54.86,54.17,54.75,197700.0
2014-02-12,54.67,55.2,54.6,54.97,243500.0
2014-02-13,54.8,55.26,54.77,55.22,146300.0
2014-02-14,55.17,55.99,55.08,55.96,213500.0
2014-02-18,56.0,56.905,55.75,56.74,284400.0
2014-02-19,62.76,64.99,60.99,64.86,1300400.0
2014-02-20,64.9,65.92,64.9,65.43,881100.0
