date,open,high,low,close,volume
2013-02-28,86.24,87.75,86.0,86.74,1324800.0
2013-03-01,86.74,87.07,86.09,86.77,1506800.0
2013-03-04,86.69,89.93,86.11,89.9,2328500.0
2013-03-05,90.17,91.9,90.03,91.01,2383600.0
2013-03-06,91.21,93.5,91.0,93.181,2446200.0
2013-03-07,92.7,93.17,91.46,92.24,1289400.0
2013-03-08,92.69,92.99,90.76,91.06,1466200.0
2013-03-11,90.8,92.35,90.46,91.67,1151100.0
2013-03-12,91.58,92.01,90.69,91.75,998100.0
2013-03-13,91.71,92.16,91.0,91.51,1061000.0
2013-03-14,91.64,92.05,91.41,91.84,875500.0
2013-03-15,91.41,94.41,91.41,93.66,2874600.0
2013-03-18,92.41,94.35,91.22,93.64,1853700.0
2013-03-19,93.58,94.06,91.93,92.74,1365800.0
2013-03-20,93.51,94.48,92.79,93.88,1151900.0
2013-03-21,92.99,93.8,91.85,92.34,834600.0
2013-03-22,92.785,93.51,92.42,93.48,721400.0
2013-03-25,93.54,94.09,91.82,92.35,816600.0
2013-03-26,92.8,93.06,91.32,91.37,1115800.0
2013-03-27,91.14,94.04,89.75,93.92,1489100.0
2013-03-28,91.69,93.0,90.29,92.14,2555300.0
2013-04-01,91.07,95.86,91.07,95.6,2538000.0
2013-04-02,96.18,100.25,96.0,99.03,3116400.0
2013-04-03,98.68,99.59,96.525,97.27,2286300.0
2013-04-04,97.98,99.14,97.1,98.9,1720700.0
2013-04-05,98.05,99.7,97.46,99.2,1501900.0
2013-04-08,98.99,99.42,97.01,98.18,1066200.0
2013-04-09,97.36,99.02,97.27,98.32,1099800.0
2013-04-10,98.48,100.55,98.3,100.05,1394900.0
2013-04-11,100.21,100.776,99.78,100.42,1013500.0
2013-04-12,100.43,100.43,99.2801,100.1,1182500.0
2013-04-15,99.71,100.04,96.09,96.22,1381700.0
2013-04-16,97.38,97.38,95.52,96.2,1884500.0
2013-04-17,95.84,95.85,93.83,94.75,1634900.0
2013-04-18,94.72,94.72,91.43,92.02,1365500.0
2013-04-19,92.29,93.41,91.16,92.6,3864700.0
2013-04-22,92.61,93.17,88.86,90.45,2651700.0
2013-04-23,90.79,92.43,90.34,91.69,1626000.0
2013-04-24,91.44,92.28,89.12,89.23,2063200.0
2013-04-25,92.65,99.07,91.1,98.82,4363600.0
2013-04-26,98.67,99.79,97.5,99.34,1490900.0
2013-04-29,99.55,99.58,98.27,98.66,1399100.0
2013-04-30,98.16,98.46,96.06,98.0,1461600.0
2013-05-01,98.0,98.37,96.09,96.67,1237600.0
2013-05-02,96.38,97.65,95.68,96.2,1171200.0
2013-05-03,97.67,98.62,96.86,98.17,1137500.0
2013-05-06,98.25,98.635,96.95,97.07,902400.0
2013-05-07,97.25,97.83,95.94,96.35,820600.0
2013-05-08,96.28,98.05,95.73,96.6,808900.0
2013-05-09,96.74,99.84,96.7,98.19,1853700.0
2013-05-10,98.52,104.21,97.9,104.14,2346200.0
2013-05-13,103.61,105.02,102.0601,104.86,1256600.0
2013-05-14,104.86,108.13,104.61,107.86,1896100.0
2013-05-15,107.87,108.0,103.32,105.208,1283100.0
2013-05-16,104.84,104.85,100.03,101.82,1670500.0
2013-05-17,102.57,104.29,101.77,102.9,977700.0
2013-05-20,102.79,103.5325,99.84,100.03,914400.0
2013-05-21,100.52,102.87,100.03,102.67,1020300.0
2013-05-22,103.0,104.5,99.35,100.57,1131600.0
2013-05-23,99.74,101.28,98.0,99.88,780000.0
2013-05-24,98.83,99.71,98.045,99.17,685000.0
2013-05-28,100.5,102.14,99.9,101.19,996900.0
2013-05-29,100.21,100.37,98.8,99.24,767900.0
2013-05-30,99.58,101.71,99.44,101.13,726000.0
2013-05-31,100.37,101.069,97.51,97.58,1337000.0
2013-06-03,97.89,98.44,91.94,95.48,2311100.0
2013-06-04,95.44,95.74,91.28,92.56,1640200.0
2013-06-05,92.5,94.13,89.56,90.81,1520800.0
2013-06-06,90.59,92.94,90.34,92.92,1437600.0
2013-06-07,93.59,95.97,93.5,94.38,1271800.0
2013-06-10,94.66,94.66,91.06,91.91,1429200.0
2013-06-11,90.7301,95.4,90.5,93.03,1126500.0
2013-06-12,93.84,94.71,91.0,91.35,945200.0
2013-06-13,91.31,93.73,90.61,93.41,811300.0
2013-06-14,92.95,93.43,91.13,92.22,940900.0
2013-06-17,93.13,93.16,90.69,91.32,1058500.0
2013-06-18,91.47,93.58,91.35,92.39,949300.0
2013-06-19,93.79,95.85,90.86,91.09,2793700.0
2013-06-20,90.17,91.01,87.39,88.47,1678800.0
2013-06-21,89.17,90.74,87.36,88.492,3600700.0
2013-06-24,88.02,89.399,87.012,87.99,1774500.0
2013-06-25,88.7,89.14,87.02,88.38,1586300.0
2013-06-26,89.41,93.23,89.16,92.75,1754000.0
2013-06-27,93.67,94.2,92.845,93.79,968900.0
2013-06-28,93.14,93.92,92.07,92.24,1272900.0
2013-07-01,93.73,99.04,93.335,95.86,2095900.0
2013-07-02,95.44,96.405,94.21,95.35,869300.0
2013-07-03,94.5,96.42,94.11,96.04,442900.0
2013-07-05,96.31,96.585,95.52,96.45,515000.0
2013-07-08,97.0,97.0,93.72,94.34,1109800.0
2013-07-09,95.08,96.17,94.0015,95.73,1019000.0
2013-07-10,95.75,101.25,95.4501,100.12,1718600.0
2013-07-11,101.19,102.37,100.5,101.44,1347600.0
2013-07-12,101.51,125.65,100.54,114.26,10846900.0
2013-07-15,115.0,115.15,107.39,107.93,4660600.0
2013-07-16,108.38,108.85,106.36,107.04,2103600.0
2013-07-17,107.13,110.19,106.74,108.69,1777200.0
2013-07-18,108.9,112.12,108.55,111.58,2019800.0
2013-07-19,113.58,113.58,111.39,112.17,2220000.0
2013-07-22,113.5,113.88,110.21,112.8,1718100.0
2013-07-23,112.75,113.03,109.23,109.42,1175200.0
2013-07-24,109.5,111.5,108.9,109.76,1463800.0
2013-07-25,107.87,110.88,105.32,107.56,2636900.0
2013-07-26,107.88,112.61,107.4901,112.5,2227000.0
2013-07-29,110.7,111.5,109.49,110.05,1529500.0
2013-07-30,110.86,121.47,108.97,117.08,5469100.0
2013-07-31,115.64,117.355,114.66,116.19,1672000.0
2013-08-01,117.55,118.4,116.44,117.21,1230500.0
2013-08-02,117.0,117.31,114.63,117.28,1283400.0
2013-08-05,116.87,117.9,116.07,117.17,703300.0
2013-08-06,116.06,116.4599,113.88,114.37,920900.0
2013-08-07,114.32,115.92,113.111,114.65,944500.0
2013-08-08,114.93,115.25,112.74,114.13,678600.0
2013-08-09,114.78,115.85,113.52,114.09,579100.0
2013-08-12,112.07,112.07,108.25,109.26,1288700.0
2013-08-13,109.74,110.34,108.06,110.12,799800.0
2013-08-14,110.2,111.23,109.4301,109.69,589800.0
2013-08-15,108.87,108.9999,105.79,106.148,908000.0
2013-08-16,105.45,106.29,104.2501,105.0,1121300.0
