date,open,high,low,close,volume
2013-02-28,123.39,124.18,122.94,123.2,201400.0
2013-03-01,122.79,123.33,121.6,123.09,97700.0
2013-03-04,122.44,122.83,120.72,121.91,138200.0
2013-03-05,121.3,122.79,120.46,122.51,95100.0
2013-03-06,124.76,126.49,121.47,122.77,94200.0
2013-03-07,123.0,123.0,121.88,122.48,45200.0
2013-03-08,122.9,123.55,122.19,123.55,65400.0
2013-03-11,122.9,123.76,122.23,123.73,57200.0
2013-03-12,123.48,123.48,122.54,122.94,56800.0
2013-03-13,122.88,123.1,122.39,122.86,60900.0
2013-03-14,123.32,123.32,122.27,123.06,44400.0
2013-03-15,122.49,123.48,122.07,122.97,109400.0
2013-03-18,122.35,122.5,121.3,122.05,53600.0
2013-03-19,122.03,124.24,122.03,123.35,94700.0
2013-03-20,123.5,124.48,122.74,124.4,103500.0
2013-03-21,123.56,124.31,122.89,123.85,60400.0
2013-03-22,123.66,124.42,122.69,123.84,85500.0
2013-03-25,123.88,123.88,121.76,122.69,71600.0
2013-03-26,122.8,124.87,122.67,124.87,44900.0
2013-03-27,124.76,125.2,123.32,125.0,70300.0
2013-03-28,125.15,126.5,124.99,126.0,59500.0
2013-04-01,127.17,127.17,123.6,125.18,108100.0
2013-04-02,125.06,125.88,124.12,125.02,75700.0
2013-04-03,125.22,125.68,124.0,124.57,110300.0
2013-04-04,124.25,125.32,124.11,124.9,35900.0
2013-04-05,122.94,123.66,122.14,123.35,30600.0
2013-04-08,123.1,123.94,122.22,123.53,38900.0
2013-04-09,124.0,124.74,122.78,123.38,22900.0
2013-04-10,123.56,124.75,123.07,124.61,91900.0
2013-04-11,124.55,125.0,123.18,124.58,66400.0
2013-04-12,124.51,124.51,122.81,123.41,25700.0
2013-04-15,123.14,124.18,120.56,121.08,62500.0
2013-04-16,121.73,123.83,120.94,123.46,54800.0
2013-04-17,122.25,122.31,120.67,121.45,38100.0
2013-04-18,121.95,121.95,119.75,120.08,69600.0
2013-04-19,120.33,121.77,119.58,120.89,50600.0
2013-04-22,121.35,121.35,120.13,120.89,35800.0
2013-04-23,121.16,121.93,120.09,121.1,32500.0
2013-04-24,121.27,121.27,119.73,119.89,38600.0
2013-04-25,120.27,120.94,119.55,120.64,55300.0
2013-04-26,120.0,120.56,118.02,118.96,48800.0
2013-04-29,118.96,120.12,118.46,120.02,44800.0
2013-04-30,119.98,119.99,118.72,119.75,92000.0
2013-05-01,119.12,120.15,115.49,117.59,133000.0
2013-05-02,117.8,118.98,116.93,118.18,82800.0
2013-05-03,119.04,121.0,118.33,120.75,62900.0
2013-05-06,120.44,120.67,119.25,119.57,28700.0
2013-05-07,121.37,121.37,110.02,111.66,269000.0
2013-05-08,113.73,124.04,112.28,118.37,375000.0
2013-05-09,118.0,118.83,117.44,118.0,101600.0
2013-05-10,118.38,118.46,117.28,117.57,152600.0
2013-05-13,117.71,117.99,116.32,116.91,61000.0
2013-05-14,116.51,116.99,115.82,116.42,128200.0
2013-05-15,116.4,117.0,115.59,116.91,136300.0
2013-05-16,116.95,118.13,116.22,117.13,75000.0
2013-05-17,116.11,117.44,115.75,116.02,111400.0
2013-05-20,116.22,116.89,115.8,116.41,102900.0
2013-05-21,116.13,116.63,115.74,116.12,94600.0
2013-05-22,115.53,117.19,114.76,115.39,165400.0
2013-05-23,114.93,116.56,113.53,115.57,66500.0
2013-05-24,114.1,115.53,114.0,115.07,29500.0
2013-05-28,115.57,116.0,115.09,115.87,59500.0
2013-05-29,114.82,115.47,113.02,114.53,40400.0
2013-05-30,115.15,115.45,114.54,115.22,33200.0
2013-05-31,114.97,114.97,113.53,113.68,52900.0
2013-06-03,113.49,114.37,112.12,113.91,89000.0
2013-06-04,114.51,114.51,112.55,113.2,42400.0
2013-06-05,112.5,113.37,111.96,112.54,78400.0
2013-06-06,112.26,113.96,112.26,113.35,78700.0
2013-06-07,114.58,114.69,112.56,113.08,69800.0
2013-06-10,113.2,114.21,112.3,114.0,74000.0
2013-06-11,112.11,114.22,111.5,113.24,50900.0
2013-06-12,112.66,113.5,111.28,111.42,48600.0
2013-06-13,111.06,113.04,111.06,112.93,55100.0
2013-06-14,112.72,113.71,112.07,112.48,53400.0
2013-06-17,112.18,113.69,111.94,113.55,84100.0
2013-06-18,113.84,114.95,113.57,114.08,54100.0
2013-06-19,114.35,114.35,112.85,113.05,75600.0
2013-06-20,112.21,112.59,111.0,112.25,92200.0
2013-06-21,112.66,113.46,112.45,113.37,112500.0
2013-06-24,112.06,112.92,111.98,112.15,79200.0
2013-06-25,112.53,112.78,110.29,110.7,70400.0
2013-06-26,111.91,112.59,110.34,110.55,37400.0
2013-06-27,110.9,112.41,110.5,111.59,20400.0
2013-06-28,111.6,113.21,110.26,112.2,57300.0
2013-07-01,112.22,114.13,112.15,113.24,49900.0
2013-07-02,112.83,114.18,112.51,112.74,117100.0
2013-07-03,111.58,113.68,111.49,113.12,36800.0
2013-07-05,113.79,115.43,113.79,115.38,33400.0
2013-07-08,115.91,117.94,115.82,117.74,85700.0
2013-07-09,117.87,118.64,117.44,118.24,40300.0
2013-07-10,117.67,118.82,117.27,118.25,35300.0
2013-07-11,118.58,119.54,118.38,119.39,26400.0
2013-07-12,119.15,119.8,118.94,119.7,31200.0
2013-07-15,119.31,120.39,117.39,119.87,39800.0
2013-07-16,120.0,120.0,117.42,118.44,40000.0
2013-07-17,118.16,118.88,118.12,118.79,11000.0
2013-07-18,118.78,120.94,118.78,120.9,33100.0
2013-07-19,120.33,121.3,120.18,121.09,35700.0
2013-07-22,120.91,121.88,120.54,121.54,38600.0
2013-07-23,121.74,121.88,120.98,121.63,30700.0
2013-07-24,121.63,121.7,119.66,120.15,27800.0
2013-07-25,119.29,121.43,119.29,120.92,47700.0
