date,open,high,low,close,volume
2013-02-28,89.74,90.63,89.1,89.96,1182100.0
2013-03-01,89.12,89.24,87.715,88.39,1304200.0
2013-03-04,88.13,89.275,87.17,88.22,1235400.0
2013-03-05,89.09,89.6,88.26,88.89,922900.0
2013-03-06,89.22,89.3625,87.71,87.93,792600.0
2013-03-07,88.63,91.385,88.29,90.92,1035600.0
2013-03-08,91.25,92.82,90.16,92.5,792000.0
2013-03-11,91.96,92.29,90.55,91.36,667200.0
2013-03-12,91.73,91.99,90.8,91.48,791100.0
2013-03-13,91.34,95.39,91.01,94.09,1519900.0
2013-03-14,94.18,97.0,94.15,96.82,1226200.0
2013-03-15,96.7,97.95,95.9,96.19,1111300.0
2013-03-18,94.99,97.27,94.535,96.38,1061300.0
2013-03-19,96.39,96.475,92.53,93.01,722100.0
2013-03-20,94.02,95.64,93.86,94.7,882500.0
2013-03-21,94.23,94.99,93.33,93.45,586000.0
2013-03-22,94.11,95.07,93.55,94.93,1155100.0
2013-03-25,95.46,97.47,95.1,97.16,1336400.0
2013-03-26,97.75,98.84,97.02,98.69,1407500.0
2013-03-27,97.74,99.39,97.28,98.36,1359000.0
2013-03-28,98.18,98.87,97.29,97.43,660000.0
2013-04-01,97.49,97.62,95.76,97.35,514000.0
2013-04-02,97.51,97.51,93.4101,94.02,970600.0
2013-04-03,94.01,94.25,90.72,91.07,827400.0
2013-04-04,91.01,91.17,88.76,89.68,834500.0
2013-04-05,88.42,89.87,87.82,89.23,992800.0
2013-04-08,89.04,91.91,89.02,91.85,852500.0
2013-04-09,91.83,92.59,91.25,92.14,708200.0
2013-04-10,92.72,93.11,90.97,91.01,718700.0
2013-04-11,91.18,91.98,90.01,90.11,592200.0
2013-04-12,88.75,88.95,85.735,86.5,1754700.0
2013-04-15,85.34,85.39,80.19,80.5,1687500.0
2013-04-16,81.95,83.9,80.835,83.48,1607200.0
2013-04-17,82.1,82.1,78.58,81.16,2215800.0
2013-04-18,81.24,82.92,79.45,82.39,1362700.0
2013-04-19,82.3,82.74,80.11,82.7,1405700.0
2013-04-22,82.84,85.535,82.02,85.21,1320600.0
2013-04-23,85.07,85.348,83.58,84.39,1216400.0
2013-04-24,84.46,87.42,84.46,86.72,930900.0
2013-04-25,87.28,87.8,86.15,86.44,1034600.0
2013-04-26,86.3,86.34,84.05,85.08,927200.0
2013-04-29,85.55,86.79,84.95,86.16,988800.0
2013-04-30,86.49,87.05,85.1,86.13,725400.0
2013-05-01,84.88,84.95,80.01,83.74,973100.0
2013-05-02,82.55,82.55,78.74,80.14,3883700.0
2013-05-03,81.34,83.7799,80.54,83.29,2139900.0
2013-05-06,83.51,84.1575,82.21,82.57,1321000.0
2013-05-07,83.25,84.75,82.65,83.47,1932500.0
2013-05-08,83.63,85.93,83.39,84.33,1103100.0
2013-05-09,84.31,84.54,82.54,82.81,1198700.0
2013-05-10,81.76,82.005,80.29,81.48,1646900.0
2013-05-13,81.86,82.25,80.81,81.45,1221500.0
2013-05-14,82.05,83.76,82.05,82.51,1095200.0
2013-05-15,81.7,82.28,80.51,81.04,1143200.0
2013-05-16,80.77,81.56,80.14,81.0,2049200.0
2013-05-17,81.42,83.33,81.42,83.2,1158300.0
2013-05-20,83.1,84.94,83.0,84.16,1765800.0
2013-05-21,83.58,84.73,82.69,82.7,1466100.0
2013-05-22,82.75,83.92,81.45,81.95,1826100.0
2013-05-23,80.16,81.53,80.0,81.33,805000.0
2013-05-24,80.44,80.82,79.1,80.52,584400.0
2013-05-28,81.89,83.27,81.47,83.16,1171100.0
2013-05-29,83.58,84.0,82.665,83.39,1205600.0
2013-05-30,82.9,84.69,82.21,84.18,1582400.0
2013-05-31,83.76,84.85,83.34,83.66,1510300.0
2013-06-03,83.63,85.0,83.47,84.42,1893500.0
2013-06-04,84.13,86.43,84.02,86.27,1501300.0
2013-06-05,86.37,88.46,85.94,88.03,3218400.0
2013-06-06,87.81,88.81,86.79,87.93,1505800.0
2013-06-07,88.05,89.5,87.76,89.4,858800.0
2013-06-10,89.31,89.31,87.58,88.5,747800.0
2013-06-11,86.83,87.35,85.81,85.95,1167100.0
2013-06-12,87.19,87.28,85.46,85.54,809100.0
2013-06-13,85.46,87.28,85.15,86.95,983600.0
2013-06-14,87.36,87.5,86.01,86.31,1098600.0
2013-06-17,87.36,88.28,86.82,87.35,751300.0
2013-06-18,87.51,88.96,87.46,87.81,790000.0
2013-06-19,87.64,88.63,86.62,87.42,1093200.0
2013-06-20,85.2,85.9,84.16,84.59,1462200.0
2013-06-21,87.25,87.25,83.571,85.18,1594200.0
2013-06-24,84.2,85.59,83.14,84.42,1377700.0
2013-06-25,85.94,86.33,84.28,85.59,1230800.0
2013-06-26,85.99,86.58,85.22,85.97,967000.0
2013-06-27,86.69,87.17,84.8,84.8,754600.0
2013-06-28,84.51,84.85,83.64,83.72,1483400.0
2013-07-01,84.22,84.61,83.44,83.95,1373300.0
2013-07-02,84.15,85.22,83.81,84.6,949300.0
2013-07-03,85.163,86.29,84.532,85.99,488900.0
2013-07-05,86.42,87.43,85.72,87.07,610000.0
2013-07-08,87.07,87.91,85.95,86.46,944800.0
2013-07-09,86.61,88.99,86.57,88.34,1029200.0
2013-07-10,88.82,89.43,87.52,88.3,948900.0
2013-07-11,89.19,89.7,87.07,88.14,724700.0
2013-07-12,87.87,88.15,86.4,87.26,909400.0
2013-07-15,87.11,87.44,85.95,87.03,666600.0
2013-07-16,87.25,87.29,85.39,86.3,650100.0
2013-07-17,86.78,86.9675,85.77,86.26,757000.0
2013-07-18,86.44,87.79,86.44,87.5,831800.0
2013-07-19,87.62,89.79,86.8,89.48,1066500.0
2013-07-22,89.1,91.005,88.47,90.93,1091100.0
2013-07-23,91.0,92.94,90.61,90.81,1035000.0
2013-07-24,90.79,91.02,87.55,88.13,929200.0
2013-07-25,88.56,89.64,86.9951,88.01,1115600.0
2013-07-26,87.59,88.18,86.25,87.07,1028100.0
2013-07-29,86.94,88.47,86.25,88.06,568500.0
2013-07-30,88.49,89.37,87.42,88.9,835700.0
