date,open,high,low,close,volume
2014-02-28,25.88,26.74,25.42,25.96,921900.0
2014-03-03,25.57,26.0,24.6847,25.59,703500.0
2014-03-04,25.86,26.55,25.86,26.47,883400.0
2014-03-05,26.5,26.66,25.08,25.24,851000.0
2014-03-06,25.26,25.84,25.1,25.7,775900.0
2014-03-07,25.89,25.9799,25.21,25.76,477400.0
2014-03-10,25.56,25.9096,24.81,25.54,500000.0
2014-03-11,25.7,25.99,25.445,25.57,891800.0
2014-03-12,24.23,24.88,23.24,24.1,1792700.0
2014-03-13,23.54,24.04,22.12,23.55,2058900.0
2014-03-14,23.4,23.9,22.94,23.67,580500.0
2014-03-17,23.77,24.19,23.73,23.91,446800.0
2014-03-18,24.57,25.019,24.29,24.87,728800.0
2014-03-19,24.97,25.13,24.34,24.41,596300.0
2014-03-20,24.26,24.528,23.72,23.97,398800.0
2014-03-21,23.91,23.948,22.84,22.94,1146200.0
2014-03-24,23.03,23.23,22.515,22.9,973300.0
2014-03-25,22.99,23.24,22.73,22.9,565000.0
2014-03-26,23.06,23.06,22.01,22.02,1370200.0
2014-03-27,21.93,21.93,21.06,21.08,1380900.0
2014-03-28,19.5,19.96,19.09,19.52,5430300.0
2014-03-31,19.51,19.68,18.86,19.01,2026500.0
2014-04-01,19.22,19.4895,19.06,19.29,1285800.0
2014-04-02,19.32,19.43,18.97,19.06,917100.0
2014-04-03,19.02,19.17,18.325,18.53,1787900.0
2014-04-04,18.66,18.7713,17.61,17.75,1537000.0
2014-04-07,17.66,17.78,17.05,17.23,2784600.0
2014-04-08,17.3,17.87,17.17,17.75,1198900.0
2014-04-09,17.75,19.59,17.58,19.43,3954700.0
2014-04-10,19.32,19.63,18.37,18.87,2115500.0
2014-04-11,18.62,19.07,18.45,18.73,2170000.0
2014-04-14,18.84,19.0096,17.56,17.76,1887500.0
2014-04-15,17.77,18.35,17.47,18.06,1290700.0
2014-04-16,18.22,18.25,17.92,18.11,698500.0
2014-04-17,18.13,18.22,17.71,18.01,701800.0
2014-04-21,18.01,18.27,17.875,18.08,1044200.0
2014-04-22,18.17,18.8,18.09,18.74,1066700.0
2014-04-23,18.78,19.13,18.278,18.8,1369100.0
2014-04-24,18.94,19.16,18.33,18.47,1487700.0
2014-04-25,18.36,18.4,17.42,17.75,966400.0
2014-04-28,17.89,18.4,17.22,17.57,1052000.0
2014-04-29,17.59,18.15,17.4,18.03,858400.0
2014-04-30,18.0,18.51,17.5,18.47,1285900.0
2014-05-01,18.38,18.46,17.75,18.29,833800.0
2014-05-02,18.32,18.5799,18.26,18.34,770100.0
2014-05-05,18.92,19.19,18.39,19.14,851800.0
2014-05-06,19.01,19.2,18.51,18.56,823700.0
2014-05-07,21.24,23.0,20.85,21.18,4045000.0
2014-05-08,19.7,21.04,19.54,19.75,1721900.0
2014-05-09,19.72,19.87,19.24,19.76,1156800.0
2014-05-12,19.79,20.22,19.75,20.0,1153700.0
2014-05-13,19.97,20.37,19.51,20.09,873700.0
2014-05-14,20.09,20.35,19.55,19.86,799800.0
2014-05-15,19.83,19.94,19.03,19.6,891700.0
2014-05-16,19.59,19.59,18.7,19.01,773000.0
2014-05-19,18.88,19.37,18.69,18.91,826800.0
2014-05-20,18.96,19.02,18.24,18.25,1221100.0
2014-05-21,18.31,18.5,18.05,18.21,633700.0
2014-05-22,18.22,18.58,17.79,18.26,1965400.0
2014-05-23,18.22,18.76,18.01,18.43,609200.0
2014-05-27,18.52,19.17,18.32,18.95,647900.0
2014-05-28,18.93,19.0699,18.59,18.7,587000.0
2014-05-29,18.69,18.988,18.47,18.65,416000.0
2014-05-30,18.7,18.72,18.01,18.23,533100.0
2014-06-02,18.2,18.22,17.99,18.14,473000.0
2014-06-03,17.97,18.2,17.85,18.17,498900.0
2014-06-04,18.05,18.31,17.84,18.19,714900.0
2014-06-05,18.31,18.55,18.04,18.47,519200.0
2014-06-06,18.64,18.91,17.73,17.91,1868400.0
2014-06-09,17.8,18.47,17.71,18.26,675100.0
2014-06-10,18.2,18.31,17.84,18.14,743300.0
2014-06-11,18.05,18.27,17.8602,18.01,654300.0
2014-06-12,18.03,18.075,17.5,17.6,845700.0
2014-06-13,17.65,18.305,17.25,18.05,1264700.0
2014-06-16,18.09,18.4,17.95,18.33,523500.0
2014-06-17,18.27,18.39,18.0,18.05,647300.0
2014-06-18,18.05,18.36,17.84,18.34,408000.0
2014-06-19,18.36,18.84,18.28,18.61,478100.0
2014-06-20,18.61,18.72,18.25,18.32,836100.0
2014-06-23,18.41,18.44,17.78,17.84,1086500.0
2014-06-24,17.89,18.38,17.89,18.0,916200.0
2014-06-25,17.85,18.01,17.41,17.68,925400.0
2014-06-26,17.69,18.18,17.42,17.72,819900.0
2014-06-27,17.65,17.85,17.57,17.67,2590300.0
2014-06-30,17.73,18.17,17.73,18.08,730900.0
2014-07-01,18.1,18.49,18.08,18.13,504800.0
2014-07-02,18.09,18.346,17.99,18.15,400500.0
2014-07-03,18.19,18.31,18.0601,18.3,160000.0
2014-07-07,18.54,18.54,17.9,17.92,390300.0
2014-07-08,17.91,17.95,17.36,17.62,655100.0
2014-07-09,17.61,17.712,17.26,17.35,458700.0
2014-07-10,16.99,17.21,16.95,17.1,457400.0
2014-07-11,17.04,17.1,16.8,16.9,412200.0
2014-07-14,16.94,16.97,16.58,16.71,816000.0
2014-07-15,16.72,16.93,16.43,16.53,890800.0
2014-07-16,16.56,16.69,15.98,16.31,1193600.0
2014-07-17,16.11,17.26,16.01,17.1,1802400.0
2014-07-18,17.02,17.48,17.02,17.44,884500.0
2014-07-21,17.25,17.27,16.87,17.0,550300.0
2014-07-22,17.02,17.33,16.83,17.12,632800.0
2014-07-23,17.1,17.4,16.89,16.98,778200.0
2014-07-24,16.96,17.01,16.65,16.84,580600.0
2014-07-25,16.75,16.86,16.5,16.72,632200.0
2014-07-28,16.69,16.92,16.32,16.37,585000.0
2014-07-29,17.21,17.4999,16.12,16.26,868700.0
2014-07-30,16.36,16.52,16.05,16.46,795800.0
2014-07-31,16.25,16.42,15.9057,16.0,734300.0
2014-08-01,15.97,16.14,15.16,15.31,1429700.0
2014-08-04,15.25,15.46,13.9001,14.05,3024100.0
