date,open,high,low,close,volume
2014-02-28,12.98,13.26,12.74,12.85,2379200.0
2014-03-03,12.75,12.92,12.66,12.77,1040800.0
2014-03-04,12.93,13.01,12.75,12.87,1209600.0
2014-03-05,12.85,13.31,12.8042,12.89,1662600.0
2014-03-06,12.91,13.3,12.91,13.11,1573600.0
2014-03-07,13.2,13.29,12.93,12.97,1851300.0
2014-03-10,12.97,13.12,12.73,12.88,749700.0
2014-03-11,12.97,12.97,12.69,12.8,1088700.0
2014-03-12,12.72,13.28,12.67,12.97,2581000.0
2014-03-13,13.0,13.11,12.0,12.93,3120500.0
2014-03-14,12.92,13.18,12.68,12.74,2489500.0
2014-03-17,12.81,12.81,12.29,12.31,2029200.0
2014-03-18,12.26,12.62,12.26,12.47,862800.0
2014-03-19,12.49,12.61,12.285,12.4,725500.0
2014-03-20,12.39,12.44,12.22,12.27,435400.0
2014-03-21,12.27,12.42,11.91,11.99,1311400.0
2014-03-24,12.01,12.14,11.6,11.7,1160300.0
2014-03-25,11.74,11.85,11.65,11.74,511600.0
2014-03-26,12.36,12.36,11.55,11.67,1847500.0
2014-03-27,11.68,11.88,11.62,11.71,1195900.0
2014-03-28,11.76,12.09,11.7001,11.95,753300.0
2014-03-31,12.04,12.34,11.97,12.32,1152900.0
2014-04-01,12.4,12.57,12.18,12.18,1478800.0
2014-04-02,12.21,12.53,12.05,12.32,1054300.0
2014-04-03,12.35,12.57,12.32,12.4,2213400.0
2014-04-04,12.51,12.84,12.28,12.35,1900700.0
2014-04-07,12.28,12.38,12.0001,12.31,2189900.0
2014-04-08,12.36,12.36,12.05,12.14,1544700.0
2014-04-09,12.69,12.95,12.58,12.78,2084900.0
2014-04-10,12.68,13.03,12.61,12.74,1828400.0
2014-04-11,12.64,12.87,12.53,12.62,1195500.0
2014-04-14,12.73,12.8,12.43,12.45,554700.0
2014-04-15,12.53,12.56,12.15,12.53,899100.0
2014-04-16,12.59,12.8,12.54,12.65,886000.0
2014-04-17,12.64,12.78,12.575,12.7,655300.0
2014-04-21,12.71,13.09,12.6401,13.08,1196900.0
2014-04-22,13.1,13.44,12.94,13.39,1331600.0
2014-04-23,13.37,13.48,12.9,12.93,2012800.0
2014-04-24,11.99,12.4,11.56,11.68,4314500.0
2014-04-25,11.56,11.68,11.2,11.3,1528100.0
2014-04-28,11.32,11.47,10.76,11.02,2182000.0
2014-04-29,11.04,11.31,10.85,11.15,1309200.0
2014-04-30,11.12,11.195,10.93,11.16,1063700.0
2014-05-01,11.05,11.19,10.83,11.13,711500.0
2014-05-02,11.2,11.53,11.15,11.515,882000.0
2014-05-05,11.45,11.49,10.95,11.06,712300.0
2014-05-06,11.02,11.07,10.77,10.8,676300.0
2014-05-07,10.85,10.88,10.52,10.8,799600.0
2014-05-08,10.27,11.45,10.26,11.15,3300800.0
2014-05-09,11.14,11.28,11.01,11.22,969600.0
2014-05-12,11.26,11.59,11.14,11.29,1138600.0
2014-05-13,11.31,11.7,11.17,11.32,2120300.0
2014-05-14,11.39,11.52,11.17,11.21,821700.0
2014-05-15,11.15,11.33,10.905,11.29,1092100.0
