date,open,high,low,close,volume
2013-02-28,66.84,67.53,66.75,67.06,275000.0
2013-03-01,66.56,66.92,65.73,66.66,365700.0
2013-03-04,66.63,67.24,66.25,67.16,214600.0
2013-03-05,67.44,67.88,66.75,67.47,219200.0
2013-03-06,67.6,67.79,67.14,67.24,190000.0
2013-03-07,67.23,67.99,66.98,67.94,218900.0
2013-03-08,68.35,69.31,68.1307,68.65,254300.0
2013-03-11,68.51,69.28,68.51,68.9,193600.0
2013-03-12,68.69,68.86,67.93,68.29,171900.0
2013-03-13,68.23,68.35,67.77,68.27,145000.0
2013-03-14,68.33,68.9299,68.16,68.92,96800.0
2013-03-15,68.98,69.34,68.771,69.14,571800.0
2013-03-18,68.62,69.16,67.98,68.88,216200.0
2013-03-19,69.05,69.63,68.82,69.39,222600.0
2013-03-20,69.67,70.43,69.63,70.38,206100.0
2013-03-21,69.82,70.44,69.5,70.18,203000.0
2013-03-22,70.33,71.15,70.18,70.74,204200.0
2013-03-25,70.03,70.76,69.35,69.96,341400.0
2013-03-26,70.41,70.46,69.69,70.39,117600.0
2013-03-27,69.85,70.63,69.56,70.57,91900.0
2013-03-28,70.34,71.13,70.11,70.94,236100.0
2013-04-01,70.89,71.515,69.7501,70.48,222300.0
2013-04-02,71.0,71.31,70.01,70.21,239400.0
2013-04-03,70.6,70.6,68.54,68.73,317400.0
2013-04-04,69.2,69.25,68.52,68.86,207500.0
2013-04-05,68.09,68.75,67.0,67.58,584600.0
2013-04-08,67.84,68.03,66.91,68.01,254100.0
2013-04-09,68.22,68.52,67.63,68.16,143100.0
2013-04-10,68.45,69.72,68.45,69.64,184200.0
2013-04-11,69.83,69.87,69.16,69.62,164800.0
2013-04-12,69.15,69.66,68.23,68.9,160000.0
2013-04-15,68.57,68.85,66.46,66.57,262600.0
2013-04-16,67.3,68.08,66.77,68.0,153400.0
2013-04-17,67.35,67.57,66.15,66.67,141400.0
2013-04-18,66.98,66.98,65.59,66.1,187800.0
2013-04-19,66.47,67.29,65.83,66.99,87900.0
2013-04-22,67.04,67.17,66.09,66.81,152300.0
2013-04-23,67.19,68.24,67.19,68.2,155600.0
2013-04-24,68.08,68.4,67.84,68.26,222400.0
2013-04-25,68.35,69.05,67.63,68.35,203200.0
2013-04-26,69.2,70.83,68.77,69.85,493200.0
2013-04-29,70.0,71.26,69.61,71.06,274400.0
2013-04-30,70.63,71.12,70.3,71.11,245500.0
2013-05-01,70.52,70.715,69.12,69.25,195900.0
2013-05-02,69.34,70.295,69.07,70.17,203800.0
2013-05-03,70.71,71.49,70.71,71.04,193900.0
2013-05-06,70.86,71.88,70.82,71.42,231500.0
2013-05-07,71.4,72.71,71.4,72.6,175000.0
2013-05-08,72.34,72.76,71.94,72.51,96000.0
2013-05-09,72.11,72.85,72.06,72.23,62000.0
2013-05-10,72.23,72.74,72.08,72.42,72500.0
2013-05-13,72.32,72.9199,71.88,72.28,93700.0
2013-05-14,72.58,73.71,72.58,73.34,122600.0
2013-05-15,73.14,74.17,72.89,74.11,208200.0
2013-05-16,73.98,75.24,73.51,73.92,149500.0
2013-05-17,74.21,74.79,74.12,74.77,148700.0
2013-05-20,74.49,75.66,74.49,75.29,148200.0
2013-05-21,75.22,75.86,74.6,75.43,76900.0
2013-05-22,75.36,75.82,73.95,74.13,222300.0
2013-05-23,73.87,74.77,73.51,74.31,199800.0
2013-05-24,74.08,74.36,73.33,74.32,87500.0
2013-05-28,75.28,75.91,75.13,75.88,190000.0
2013-05-29,75.46,76.48,75.27,76.0,168300.0
2013-05-30,76.09,78.22,75.96,78.07,284500.0
2013-05-31,77.76,78.53,77.39,77.39,367400.0
2013-06-03,77.61,77.61,75.03,76.4,286900.0
2013-06-04,76.4,76.81,75.08,75.58,270100.0
2013-06-05,75.52,75.81,74.06,74.24,182500.0
2013-06-06,75.11,76.2,74.35,76.09,232800.0
2013-06-07,76.76,76.76,75.865,76.56,174000.0
2013-06-10,77.0,78.04,76.57,77.82,115500.0
2013-06-11,76.92,78.11,76.23,76.44,197700.0
2013-06-12,76.87,76.96,74.98,75.41,108700.0
2013-06-13,75.19,76.74,74.66,76.61,141300.0
2013-06-14,76.54,76.83,75.55,75.91,208300.0
