,ticker
0,AAPL
1,XOM
2,IBM
3,PG
4,CVX
5,PFE
6,JNJ
7,T
8,JPM
9,MSFT
10,KO
11,GOOGL
12,CSCO
13,CMCSA
14,INCO
15,MCD
16,BRK_B
17,LPRAX
18,UTX
19,WFC
20,GILD
21,COP
22,PM
23,MMM
24,VZ
25,AEC
26,C
27,EBAY
28,MRK
29,UPS
30,BAC
31,BA
32,WMT
33,MA
34,PEP
35,MON
36,ORCL
37,KTF
38,QCOM
39,F
40,DUK
41,EMC
42,SPG
43,HD
44,ACN
45,DIS
46,MDT
47,HPQ
48,SLB
49,COST
50,AMZN
51,APC
52,V
53,NKE
54,SBUX
55,LOW
56,AMGN
57,MET
58,BAX
59,TXN
60,MO
61,DOW
62,CVS
63,KMB
64,HAL
65,BMY
66,EOG
67,UNP
68,TJX
69,D
70,ABBV
71,BK
72,GS
73,YUM
74,BLK
75,USB
76,COP
77,OXY
78,COF
79,GIS
80,NWSA
81,FCX
82,ALD
83,AMT
84,UNH
85,ETN
86,VIAB
87,AIG
88,PRU
89,TMO
90,CAT
91,WMB
92,LLY
93,ITW
94,CSX
95,ABT
96,AFL
97,NSC
98,TWX
99,CRM
100,CL
101,MRO
102,ALL
103,GD
104,KHC
105,CTSH
106,CB
107,CELG
108,DFS
109,ESRX
110,PSA
111,VTR
112,ECL
113,DD
114,DELL
115,BIIB
116,BEN
117,TGT
118,IP
119,SE
120,PSX
121,CMI
122,CCI
123,ISRG
124,SCHW
125,PPG
126,WAG
127,CME
128,SO
129,S
130,EMR
131,BDX
132,BRCM
133,APD
134,SRE
135,ALXN
136,PCAR
137,DHR
138,HCN
139,PNC
140,FE
141,WM
142,AGN
143,AMAT
144,PCLN
145,CAM
146,K
147,STI
148,DE
149,OMC
150,PX
151,EL
152,NEE
153,LO
154,AMP
155,DTV
156,TYC
157,MHFI
158,BBBY
159,SHW
160,AZO
161,FITB
162,TRV
163,ADI
164,ADP
165,VNO
166,COH
167,KRFT
168,ESV
169,ES
170,APA
171,L
172,ROST
173,NOV
174,GWW
175,MS
176,CTXS
177,MPC
178,DG
179,EXC
180,SWK
181,ZBH
182,FDX
183,HST
184,TW
185,MTZ
186,HOG
187,PCP
188,ICE
189,ABC
190,DTE
191,CBS
192,RF
193,STT
194,MYL
195,LMT
196,STJ
197,ORLY
198,ALTR
199,VLO
200,HIG
201,MCK
202,ETR
203,LIFE
204,KMI
205,DLTR
206,LB
207,SJM
208,CHK
209,LYB
210,NFLX
211,JCI
212,MU
213,BEAM
214,AEP
215,XLNX
216,LUV
217,NE
218,DPS
219,NYX
220,EW
221,WHR
222,HCP
223,SLM
224,ADM
225,ADSK
226,KEY
227,CTL
228,AVP
229,LLTC
230,BBT
231,KLAC
232,ADBE
233,COL
234,WU
235,DVN
236,FLS
237,WAT
238,HES
239,LUK
240,AES
241,BCR
242,MMC
243,PLL
244,NEM
245,CSC
246,NBL
247,NWL
248,SYY
249,JEC
250,LLL
251,STZ
252,BHI
253,VRSN
254,BLL
255,TSN
256,ANTM
257,DNR
258,PHM
259,GLW
260,DHI
